2025-09-20 18:28:03 - ROBOTY.main - INFO - Запуск приложения ROBOTY
2025-09-20 18:28:03 - ROBOTY.main - INFO - Применена тема: light
2025-09-20 18:28:03 - ROBOTY.main - INFO - Интерфейс инициализирован
2025-09-20 18:28:03 - ROBOTY.main - INFO - Приложение успешно запущено
2025-09-20 18:28:09 - ROBOTY.main - INFO - Создан входной файл: /Users/maksimchernukha/Pictures/ROBOTY/data/input_20250920_182806.json
2025-09-20 18:28:09 - ROBOTY.parser - INFO - Начинаем загрузку файла: /Users/maksimchernukha/Pictures/ROBOTY/data/input_20250920_182806.json
2025-09-20 18:28:09 - ROBOTY.parser - INFO - Файл /Users/maksimchernukha/Pictures/ROBOTY/data/input_20250920_182806.json успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 1 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 2 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 3 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 4 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 5 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 6 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 7 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 8 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 9 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 10 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 11 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 12 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 13 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 14 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 15 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 16 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 17 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 18 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 19 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 20 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 21 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 22 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 23 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 24 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 25 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 26 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 27 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 28 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 29 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 30 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 31 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 32 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 33 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 34 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 35 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 36 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 37 успешно загружен
2025-09-20 18:28:09 - ROBOTY.parser - DEBUG - Робот 38 успешно загружен
