# Результаты планирования роботов
# Makespan (общее время выполнения всех операций, мс):
8.37

# Робот R1, количество точек маршрута = 24
# Формат: t (мс)   X   Y   Z
R1 24
t=0.00ms   x=0.000   y=0.000   z=0.000
t=0.37ms   x=0.127   y=0.042   z=0.000
t=0.73ms   x=0.458   y=0.153   z=0.000
t=1.10ms   x=0.805   y=0.268   z=0.000
t=1.46ms   x=1.153   y=0.384   z=0.000
t=1.83ms   x=1.500   y=0.500   z=0.000
t=2.20ms   x=1.847   y=0.616   z=0.000
t=2.56ms   x=2.195   y=0.732   z=0.000
t=2.93ms   x=2.542   y=0.847   z=0.000
t=3.30ms   x=2.873   y=0.958   z=0.000
t=3.66ms   x=3.000   y=1.000   z=0.000
t=4.46ms   x=3.000   y=1.000   z=0.000
t=4.46ms   x=3.000   y=1.000   z=0.000
t=4.65ms   x=3.000   y=1.026   z=0.026
t=4.85ms   x=3.000   y=1.104   z=0.104
t=5.04ms   x=3.000   y=1.229   z=0.229
t=5.23ms   x=3.000   y=1.365   z=0.365
t=5.42ms   x=3.000   y=1.500   z=0.500
t=5.61ms   x=3.000   y=1.635   z=0.635
t=5.80ms   x=3.000   y=1.771   z=0.771
t=5.99ms   x=3.000   y=1.896   z=0.896
t=6.19ms   x=3.000   y=1.974   z=0.974
t=6.38ms   x=3.000   y=2.000   z=1.000
t=7.18ms   x=3.000   y=2.000   z=1.000

# Робот R2, количество точек маршрута = 48
# Формат: t (мс)   X   Y   Z
R2 48
t=0.00ms   x=2.000   y=0.000   z=0.000
t=0.17ms   x=1.976   y=0.024   z=0.000
t=0.33ms   x=1.903   y=0.097   z=0.000
t=0.50ms   x=1.781   y=0.219   z=0.000
t=0.66ms   x=1.641   y=0.359   z=0.000
t=0.83ms   x=1.500   y=0.500   z=0.000
t=1.00ms   x=1.359   y=0.641   z=0.000
t=1.16ms   x=1.219   y=0.781   z=0.000
t=1.33ms   x=1.097   y=0.903   z=0.000
t=1.49ms   x=1.024   y=0.976   z=0.000
t=1.66ms   x=1.000   y=1.000   z=0.000
t=2.16ms   x=1.000   y=1.000   z=0.000
t=2.16ms   x=1.000   y=1.000   z=0.000
t=2.32ms   x=1.000   y=1.024   z=0.024
t=2.49ms   x=1.000   y=1.097   z=0.097
t=2.66ms   x=1.000   y=1.219   z=0.219
t=2.82ms   x=1.000   y=1.359   z=0.359
t=2.99ms   x=1.000   y=1.500   z=0.500
t=3.15ms   x=1.000   y=1.641   z=0.641
t=3.32ms   x=1.000   y=1.781   z=0.781
t=3.49ms   x=1.000   y=1.903   z=0.903
t=3.65ms   x=1.000   y=1.976   z=0.976
t=3.82ms   x=1.000   y=2.000   z=1.000
t=4.32ms   x=1.000   y=2.000   z=1.000
t=4.32ms   x=1.000   y=2.000   z=1.000
t=4.52ms   x=0.986   y=1.958   z=0.972
t=4.72ms   x=0.944   y=1.833   z=0.889
t=4.93ms   x=0.881   y=1.642   z=0.762
t=5.13ms   x=0.815   y=1.446   z=0.631
t=5.34ms   x=0.750   y=1.250   z=0.500
t=5.54ms   x=0.685   y=1.054   z=0.369
t=5.74ms   x=0.619   y=0.858   z=0.238
t=5.95ms   x=0.556   y=0.667   z=0.111
t=6.15ms   x=0.514   y=0.542   z=0.028
t=6.36ms   x=0.500   y=0.500   z=-0.000
t=6.66ms   x=0.500   y=0.500   z=0.000
t=6.66ms   x=0.500   y=0.500   z=0.000
t=6.80ms   x=0.500   y=0.522   z=0.011
t=6.94ms   x=0.500   y=0.589   z=0.045
t=7.08ms   x=0.500   y=0.701   z=0.100
t=7.22ms   x=0.500   y=0.848   z=0.174
t=7.36ms   x=0.500   y=1.000   z=0.250
t=7.50ms   x=0.500   y=1.152   z=0.326
t=7.64ms   x=0.500   y=1.299   z=0.400
t=7.79ms   x=0.500   y=1.411   z=0.455
t=7.93ms   x=0.500   y=1.478   z=0.489
t=8.07ms   x=0.500   y=1.500   z=0.500
t=8.37ms   x=0.500   y=1.500   z=0.500

