# Результаты планирования роботов
# Makespan (общее время выполнения всех операций, мс):
16.74

# Робот R1, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R1 72
t=0.00ms   x=-0.076   y=-0.023   z=0.000
t=0.11ms   x=-0.083   y=-0.010   z=0.000
t=0.22ms   x=-0.105   y=0.027   z=0.000
t=0.33ms   x=-0.141   y=0.090   z=0.000
t=0.44ms   x=-0.192   y=0.177   z=0.000
t=0.55ms   x=-0.257   y=0.290   z=0.000
t=0.66ms   x=-0.327   y=0.412   z=0.000
t=0.77ms   x=-0.383   y=0.508   z=0.000
t=0.88ms   x=-0.425   y=0.580   z=0.000
t=0.99ms   x=-0.452   y=0.627   z=0.000
t=1.10ms   x=-0.464   y=0.648   z=0.000
t=1.50ms   x=-0.438   y=0.603   z=0.000
t=1.50ms   x=-0.438   y=0.603   z=0.000
t=1.60ms   x=-0.428   y=0.597   z=0.003
t=1.70ms   x=-0.400   y=0.581   z=0.014
t=1.80ms   x=-0.352   y=0.552   z=0.031
t=1.89ms   x=-0.286   y=0.513   z=0.055
t=1.99ms   x=-0.200   y=0.463   z=0.086
t=2.09ms   x=-0.095   y=0.401   z=0.125
t=2.19ms   x=-0.010   y=0.350   z=0.156
t=2.29ms   x=0.057   y=0.311   z=0.180
t=2.39ms   x=0.104   y=0.283   z=0.197
t=2.48ms   x=0.132   y=0.266   z=0.207
t=2.88ms   x=0.038   y=0.322   z=0.173
t=2.88ms   x=0.038   y=0.322   z=0.173
t=3.02ms   x=0.047   y=0.304   z=0.170
t=3.15ms   x=0.075   y=0.249   z=0.159
t=3.28ms   x=0.122   y=0.158   z=0.142
t=3.41ms   x=0.187   y=0.030   z=0.117
t=3.54ms   x=0.268   y=-0.129   z=0.087
t=3.68ms   x=0.350   y=-0.289   z=0.056
t=3.81ms   x=0.415   y=-0.417   z=0.031
t=3.94ms   x=0.462   y=-0.508   z=0.014
t=4.07ms   x=0.490   y=-0.563   z=0.003
t=4.20ms   x=0.499   y=-0.581   z=0.000
t=4.93ms   x=0.499   y=-0.581   z=0.000
t=4.93ms   x=0.499   y=-0.581   z=0.000
t=5.05ms   x=0.488   y=-0.569   z=0.000
t=5.17ms   x=0.455   y=-0.533   z=0.002
t=5.29ms   x=0.400   y=-0.472   z=0.004
t=5.40ms   x=0.322   y=-0.388   z=0.007
t=5.52ms   x=0.223   y=-0.279   z=0.011
t=5.64ms   x=0.123   y=-0.169   z=0.016
t=5.75ms   x=0.045   y=-0.084   z=0.019
t=5.87ms   x=-0.012   y=-0.022   z=0.021
t=5.99ms   x=-0.046   y=0.015   z=0.023
t=6.10ms   x=-0.057   y=0.028   z=0.023
t=6.83ms   x=-0.053   y=0.023   z=0.023
t=6.83ms   x=-0.053   y=0.023   z=0.023
t=6.96ms   x=-0.043   y=0.008   z=0.023
t=7.08ms   x=-0.013   y=-0.036   z=0.021
t=7.20ms   x=0.037   y=-0.109   z=0.019
t=7.32ms   x=0.106   y=-0.211   z=0.016
t=7.44ms   x=0.196   y=-0.343   z=0.011
t=7.57ms   x=0.285   y=-0.475   z=0.007
t=7.69ms   x=0.354   y=-0.577   z=0.004
t=7.81ms   x=0.404   y=-0.650   z=0.002
t=7.93ms   x=0.434   y=-0.694   z=0.000
t=8.05ms   x=0.444   y=-0.709   z=0.000
t=9.08ms   x=0.444   y=-0.709   z=0.000
t=9.08ms   x=0.444   y=-0.709   z=0.000
t=9.23ms   x=0.423   y=-0.691   z=0.002
t=9.38ms   x=0.361   y=-0.638   z=0.007
t=9.54ms   x=0.258   y=-0.550   z=0.015
t=9.69ms   x=0.113   y=-0.427   z=0.026
t=9.84ms   x=-0.049   y=-0.288   z=0.039
t=9.99ms   x=-0.210   y=-0.150   z=0.052
t=10.14ms   x=-0.355   y=-0.027   z=0.063
t=10.29ms   x=-0.458   y=0.061   z=0.071
t=10.44ms   x=-0.520   y=0.114   z=0.076
t=10.59ms   x=-0.541   y=0.132   z=0.078
t=11.62ms   x=-0.541   y=0.132   z=0.078

# Робот R2, количество точек маршрута = 48
# Формат: t (мс)   X   Y   Z
R2 48
t=0.00ms   x=1.510   y=0.073   z=0.000
t=0.08ms   x=1.504   y=0.075   z=0.000
t=0.17ms   x=1.488   y=0.080   z=0.000
t=0.25ms   x=1.461   y=0.090   z=0.000
t=0.34ms   x=1.422   y=0.103   z=0.000
t=0.42ms   x=1.373   y=0.119   z=0.000
t=0.51ms   x=1.314   y=0.139   z=0.000
t=0.59ms   x=1.267   y=0.155   z=0.000
t=0.68ms   x=1.231   y=0.167   z=0.000
t=0.76ms   x=1.206   y=0.176   z=0.000
t=0.85ms   x=1.192   y=0.180   z=0.000
t=1.41ms   x=1.235   y=0.166   z=0.000
t=1.41ms   x=1.235   y=0.166   z=0.000
t=1.56ms   x=1.252   y=0.167   z=0.002
t=1.70ms   x=1.303   y=0.170   z=0.006
t=1.85ms   x=1.389   y=0.175   z=0.014
t=1.99ms   x=1.502   y=0.182   z=0.024
t=2.14ms   x=1.617   y=0.189   z=0.035
t=2.29ms   x=1.731   y=0.196   z=0.046
t=2.43ms   x=1.844   y=0.203   z=0.056
t=2.58ms   x=1.930   y=0.208   z=0.064
